year,state_letter,state_short,affiliation,sex,cohort,arr_indigenous,arr_non_indigenous,arr_all,state_name,state_code
2024,a,NSW,Government,Male,Year 7 - Year 9,100.0,100.0,100.0,New South Wales,1
2024,a,NSW,Government,Male,Year 7/8 - Year 10,100.0,100.0,100.0,New South Wales,1
2024,a,NSW,Government,Male,Year 7/8 - Year 11,58.7,79.6,77.7,New South Wales,1
2024,a,NSW,Government,Male,Year 7/8 - Year 12,39.6,68.2,65.8,New South Wales,1
2024,a,NSW,Government,Male,Year 10 - Year 12,36.1,65.9,63.2,New South Wales,1
2024,a,NSW,Government,Female,Year 7 - Year 9,100.0,100.0,100.0,New South Wales,1
2024,a,NSW,Government,Female,Year 7/8 - Year 10,100.0,99.3,99.6,New South Wales,1
2024,a,NSW,Government,Female,Year 7/8 - Year 11,64.9,85.9,83.9,New South Wales,1
2024,a,NSW,Government,Female,Year 7/8 - Year 12,44.1,73.9,71.1,New South Wales,1
2024,a,NSW,Government,Female,Year 10 - Year 12,43.8,74.8,71.8,New South Wales,1
2024,a,NSW,Government,Persons,Year 7 - Year 9,100.0,100.0,100.0,New South Wales,1
2024,a,NSW,Government,Persons,Year 7/8 - Year 10,100.0,99.6,99.9,New South Wales,1
2024,a,NSW,Government,Persons,Year 7/8 - Year 11,61.8,82.7,80.7,New South Wales,1
2024,a,NSW,Government,Persons,Year 7/8 - Year 12,42.0,71.0,68.4,New South Wales,1
2024,a,NSW,Government,Persons,Year 10 - Year 12,39.9,70.1,67.3,New South Wales,1
2024,a,NSW,Non-Government,Male,Year 7 - Year 9,100.0,99.4,99.6,New South Wales,1
2024,a,NSW,Non-Government,Male,Year 7/8 - Year 10,100.0,98.5,98.9,New South Wales,1
2024,a,NSW,Non-Government,Male,Year 7/8 - Year 11,90.5,87.5,87.6,New South Wales,1
2024,a,NSW,Non-Government,Male,Year 7/8 - Year 12,66.7,79.1,78.8,New South Wales,1
2024,a,NSW,Non-Government,Male,Year 10 - Year 12,62.3,80.7,80.2,New South Wales,1
2024,a,NSW,Non-Government,Female,Year 7 - Year 9,100.0,100.0,100.0,New South Wales,1
2024,a,NSW,Non-Government,Female,Year 7/8 - Year 10,100.0,100.0,100.0,New South Wales,1
2024,a,NSW,Non-Government,Female,Year 7/8 - Year 11,96.4,92.5,92.7,New South Wales,1
2024,a,NSW,Non-Government,Female,Year 7/8 - Year 12,83.1,87.4,87.2,New South Wales,1
2024,a,NSW,Non-Government,Female,Year 10 - Year 12,66.7,86.7,85.9,New South Wales,1
2024,a,NSW,Non-Government,Persons,Year 7 - Year 9,100.0,99.8,100.0,New South Wales,1
2024,a,NSW,Non-Government,Persons,Year 7/8 - Year 10,100.0,99.7,100.0,New South Wales,1
2024,a,NSW,Non-Government,Persons,Year 7/8 - Year 11,93.7,90.0,90.1,New South Wales,1
2024,a,NSW,Non-Government,Persons,Year 7/8 - Year 12,75.3,83.2,83.0,New South Wales,1
2024,a,NSW,Non-Government,Persons,Year 10 - Year 12,64.8,83.7,83.1,New South Wales,1
