,year,state_name,affiliation,sex,arr_all,join_key
3,2024,NSW,Government,Male,65.8,NSW|2024|Government|Male
8,2024,NSW,Government,Female,71.1,NSW|2024|Government|Female
13,2024,NSW,Government,Persons,68.4,NSW|2024|Government|Persons
18,2024,NSW,Non-Government,Male,78.8,NSW|2024|Non-Government|Male
23,2024,NSW,Non-Government,Female,87.2,NSW|2024|Non-Government|Female
28,2024,NSW,Non-Government,Persons,83.0,NSW|2024|Non-Government|Persons
33,2024,NSW,Catholic,Male,74.4,NSW|2024|Catholic|Male
38,2024,NSW,Catholic,Female,83.5,NSW|2024|Catholic|Female
43,2024,NSW,Catholic,Persons,78.9,NSW|2024|Catholic|Persons
48,2024,NSW,Independent,Male,85.0,NSW|2024|Independent|Male
53,2024,NSW,Independent,Female,92.6,NSW|2024|Independent|Female
58,2024,NSW,Independent,Persons,88.8,NSW|2024|Independent|Persons
63,2024,NSW,All affiliations,Male,71.2,NSW|2024|All affiliations|Male
68,2024,NSW,All affiliations,Female,77.8,NSW|2024|All affiliations|Female
73,2024,NSW,All affiliations,Persons,74.5,NSW|2024|All affiliations|Persons
78,2024,Vic,Government,Male,75.5,Vic|2024|Government|Male
83,2024,Vic,Government,Female,83.9,Vic|2024|Government|Female
88,2024,Vic,Government,Persons,79.5,Vic|2024|Government|Persons
93,2024,Vic,Non-Government,Male,87.7,Vic|2024|Non-Government|Male
98,2024,Vic,Non-Government,Female,94.0,Vic|2024|Non-Government|Female
103,2024,Vic,Non-Government,Persons,90.9,Vic|2024|Non-Government|Persons
108,2024,Vic,Catholic,Male,80.3,Vic|2024|Catholic|Male
113,2024,Vic,Catholic,Female,86.6,Vic|2024|Catholic|Female
118,2024,Vic,Catholic,Persons,83.5,Vic|2024|Catholic|Persons
123,2024,Vic,Independent,Male,96.5,Vic|2024|Independent|Male
128,2024,Vic,Independent,Female,100.0,Vic|2024|Independent|Female
133,2024,Vic,Independent,Persons,99.7,Vic|2024|Independent|Persons
138,2024,Vic,All affiliations,Male,80.6,Vic|2024|All affiliations|Male
143,2024,Vic,All affiliations,Female,88.4,Vic|2024|All affiliations|Female
148,2024,Vic,All affiliations,Persons,84.4,Vic|2024|All affiliations|Persons
153,2024,Qld,Government,Male,68.6,Qld|2024|Government|Male
158,2024,Qld,Government,Female,76.3,Qld|2024|Government|Female
163,2024,Qld,Government,Persons,72.3,Qld|2024|Government|Persons
168,2024,Qld,Non-Government,Male,93.5,Qld|2024|Non-Government|Male
173,2024,Qld,Non-Government,Female,96.4,Qld|2024|Non-Government|Female
178,2024,Qld,Non-Government,Persons,94.9,Qld|2024|Non-Government|Persons
183,2024,Qld,Catholic,Male,84.3,Qld|2024|Catholic|Male
188,2024,Qld,Catholic,Female,88.0,Qld|2024|Catholic|Female
193,2024,Qld,Catholic,Persons,86.1,Qld|2024|Catholic|Persons
198,2024,Qld,Independent,Male,100.0,Qld|2024|Independent|Male
203,2024,Qld,Independent,Female,100.0,Qld|2024|Independent|Female
208,2024,Qld,Independent,Persons,100.0,Qld|2024|Independent|Persons
213,2024,Qld,All affiliations,Male,77.8,Qld|2024|All affiliations|Male
218,2024,Qld,All affiliations,Female,83.9,Qld|2024|All affiliations|Female
223,2024,Qld,All affiliations,Persons,80.8,Qld|2024|All affiliations|Persons
228,2024,SA,Government,Male,75.8,SA|2024|Government|Male
