state_name,year,participation_rate,join_key
ACT,2011,76.4,ACT|2011
ACT,2012,76.98,ACT|2012
ACT,2013,77.11,ACT|2013
ACT,2014,77.84,ACT|2014
ACT,2015,78.01,ACT|2015
ACT,2016,77.9,ACT|2016
ACT,2017,77.36,ACT|2017
ACT,2018,77.04,ACT|2018
ACT,2019,77.05,ACT|2019
ACT,2020,77.83,ACT|2020
ACT,2021,77.82,ACT|2021
ACT,2022,76.7,ACT|2022
ACT,2023,76.83,ACT|2023
ACT,2024,76.96,ACT|2024
Aust.,2011,69.21,Aust.|2011
Aust.,2012,70.5,Aust.|2012
Aust.,2013,70.86,Aust.|2013
Aust.,2014,71.23,Aust.|2014
Aust.,2015,71.83,Aust.|2015
Aust.,2016,71.76,Aust.|2016
Aust.,2017,72.07,Aust.|2017
Aust.,2018,71.86,Aust.|2018
Aust.,2019,71.82,Aust.|2019
Aust.,2020,72.6,Aust.|2020
Aust.,2021,72.53,Aust.|2021
Aust.,2022,71.21,Aust.|2022
Aust.,2023,70.66,Aust.|2023
Aust.,2024,70.6,Aust.|2024
NSW,2011,69.41,NSW|2011
NSW,2012,70.87,NSW|2012
NSW,2013,71.11,NSW|2013
NSW,2014,71.32,NSW|2014
NSW,2015,71.32,NSW|2015
NSW,2016,71.12,NSW|2016
NSW,2017,71.55,NSW|2017
NSW,2018,71.19,NSW|2018
NSW,2019,71.04,NSW|2019
NSW,2020,71.1,NSW|2020
NSW,2021,70.62,NSW|2021
NSW,2022,69.7,NSW|2022
NSW,2023,69.04,NSW|2023
NSW,2024,68.99,NSW|2024
NT,2011,59.33,NT|2011
NT,2012,60.95,NT|2012
NT,2013,61.08,NT|2013
NT,2014,60.86,NT|2014
NT,2015,61.38,NT|2015
NT,2016,61.43,NT|2016
NT,2017,66.38,NT|2017
NT,2018,63.82,NT|2018
NT,2019,63.84,NT|2019
NT,2020,64.18,NT|2020
NT,2021,63.03,NT|2021
NT,2022,61.56,NT|2022
NT,2023,61.36,NT|2023
NT,2024,61.81,NT|2024
Qld,2011,65.01,Qld|2011
Qld,2012,66.38,Qld|2012
Qld,2013,66.91,Qld|2013
Qld,2014,67.28,Qld|2014
Qld,2015,67.6,Qld|2015
Qld,2016,67.7,Qld|2016
Qld,2017,67.99,Qld|2017
Qld,2018,67.7,Qld|2018
Qld,2019,67.91,Qld|2019
Qld,2020,70.77,Qld|2020
Qld,2021,70.87,Qld|2021
Qld,2022,69.77,Qld|2022
Qld,2023,69.11,Qld|2023
Qld,2024,68.82,Qld|2024
SA,2011,73.17,SA|2011
SA,2012,74.53,SA|2012
SA,2013,74.79,SA|2013
SA,2014,75.21,SA|2014
SA,2015,75.7,SA|2015
SA,2016,76.03,SA|2016
SA,2017,75.76,SA|2017
SA,2018,75.53,SA|2018
SA,2019,75.84,SA|2019
SA,2020,75.78,SA|2020
SA,2021,75.77,SA|2021
SA,2022,74.54,SA|2022
SA,2023,74.25,SA|2023
SA,2024,74.12,SA|2024
Tas,2011,75.61,Tas|2011
Tas,2012,76.59,Tas|2012
Tas,2013,74.02,Tas|2013
Tas,2014,74.21,Tas|2014
Tas,2015,74.14,Tas|2015
Tas,2016,74.07,Tas|2016
Tas,2017,75.26,Tas|2017
Tas,2018,75.79,Tas|2018
Tas,2019,75.53,Tas|2019
Tas,2020,75.99,Tas|2020
Tas,2021,75.93,Tas|2021
Tas,2022,73.45,Tas|2022
Tas,2023,72.79,Tas|2023
Tas,2024,72.63,Tas|2024
Vic,2011,73.16,Vic|2011
Vic,2012,74.32,Vic|2012
Vic,2013,74.69,Vic|2013
Vic,2014,75.07,Vic|2014
Vic,2015,75.44,Vic|2015
Vic,2016,75.55,Vic|2016
Vic,2017,75.05,Vic|2017
Vic,2018,74.84,Vic|2018
Vic,2019,74.69,Vic|2019
Vic,2020,75.15,Vic|2020
Vic,2021,75.64,Vic|2021
Vic,2022,74.97,Vic|2022
Vic,2023,74.36,Vic|2023
Vic,2024,74.43,Vic|2024
WA,2011,62.86,WA|2011
WA,2012,63.77,WA|2012
WA,2013,64.02,WA|2013
WA,2014,64.42,WA|2014
WA,2015,67.71,WA|2015
WA,2016,67.56,WA|2016
WA,2017,69.89,WA|2017
WA,2018,69.99,WA|2018
WA,2019,70.05,WA|2019
WA,2020,70.24,WA|2020
WA,2021,69.88,WA|2021
WA,2022,66.84,WA|2022
WA,2023,66.44,WA|2023
WA,2024,66.74,WA|2024
