year,state_name,affiliation,ratio
2024,NSW,Government,12.7
2024,NSW,Non-Government,11.1
2024,NSW,Catholic,12.0
2024,NSW,Independent,10.2
2024,NSW,All Affiliations,12.0
2024,Vic,Government,11.5
2024,Vic,Non-Government,10.4
2024,Vic,Catholic,11.4
2024,Vic,Independent,9.6
2024,Vic,All Affiliations,11.0
2024,Qld,Government,11.8
2024,Qld,Non-Government,11.9
2024,Qld,Catholic,12.3
2024,Qld,Independent,11.6
2024,Qld,All Affiliations,11.9
2024,SA,Government,13.0
2024,SA,Non-Government,11.5
2024,SA,Catholic,12.4
2024,SA,Independent,10.9
2024,SA,All Affiliations,12.4
2024,WA,Government,12.8
2024,WA,Non-Government,11.6
2024,WA,Catholic,12.4
2024,WA,Independent,11.0
2024,WA,All Affiliations,12.3
2024,Tas,Government,11.4
2024,Tas,Non-Government,10.7
2024,Tas,Catholic,11.6
2024,Tas,Independent,9.7
2024,Tas,All Affiliations,11.1
2024,NT,Government,11.3
2024,NT,Non-Government,10.1
2024,NT,Catholic,10.5
2024,NT,Independent,9.8
2024,NT,All Affiliations,10.9
2024,ACT,Government,12.9
2024,ACT,Non-Government,12.4
2024,ACT,Catholic,12.9
2024,ACT,Independent,11.8
2024,ACT,All Affiliations,12.7
2024,Aust,Government,12.2
2024,Aust,Non-Government,11.2
2024,Aust,Catholic,11.9
2024,Aust,Independent,10.5
2024,Aust,All Affiliations,11.7
2023,NSW,Government,13.2
2023,NSW,Non-Government,11.1
2023,NSW,Catholic,12.1
2023,NSW,Independent,10.0
2023,NSW,All Affiliations,12.2
2023,Vic,Government,11.5
2023,Vic,Non-Government,10.5
2023,Vic,Catholic,11.5
2023,Vic,Independent,9.6
2023,Vic,All Affiliations,11.1
2023,Qld,Government,12.0
2023,Qld,Non-Government,12.0
2023,Qld,Catholic,12.3
2023,Qld,Independent,11.8
2023,Qld,All Affiliations,12.0
2023,SA,Government,12.9
2023,SA,Non-Government,11.5
2023,SA,Catholic,12.3
2023,SA,Independent,10.9
2023,SA,All Affiliations,12.3
2023,WA,Government,12.7
2023,WA,Non-Government,11.7
2023,WA,Catholic,12.7
2023,WA,Independent,10.9
2023,WA,All Affiliations,12.3
2023,Tas,Government,11.8
2023,Tas,Non-Government,10.4
2023,Tas,Catholic,11.2
2023,Tas,Independent,9.6
2023,Tas,All Affiliations,11.3
2023,NT,Government,11.4
2023,NT,Non-Government,10.2
2023,NT,Catholic,10.1
2023,NT,Independent,10.3
2023,NT,All Affiliations,11.0
2023,ACT,Government,12.8
2023,ACT,Non-Government,12.2
2023,ACT,Catholic,12.7
2023,ACT,Independent,11.6
2023,ACT,All Affiliations,12.6
2023,Aust,Government,12.3
2023,Aust,Non-Government,11.2
2023,Aust,Catholic,12.0
2023,Aust,Independent,10.4
2023,Aust,All Affiliations,11.8
2022,NSW,Government,13.0
2022,NSW,Non-Government,11.1
2022,NSW,Catholic,12.1
2022,NSW,Independent,10.0
2022,NSW,All Affiliations,12.1
2022,Vic,Government,11.6
2022,Vic,Non-Government,10.7
2022,Vic,Catholic,11.9
2022,Vic,Independent,9.6
2022,Vic,All Affiliations,11.2
2022,Qld,Government,12.1
2022,Qld,Non-Government,12.1
2022,Qld,Catholic,12.4
2022,Qld,Independent,11.7
2022,Qld,All Affiliations,12.1
2022,SA,Government,12.9
2022,SA,Non-Government,11.4
2022,SA,Catholic,12.3
2022,SA,Independent,10.8
2022,SA,All Affiliations,12.2
2022,WA,Government,12.6
2022,WA,Non-Government,11.7
2022,WA,Catholic,12.7
2022,WA,Independent,10.9
2022,WA,All Affiliations,12.2
2022,Tas,Government,12.0
2022,Tas,Non-Government,10.5
2022,Tas,Catholic,11.6
2022,Tas,Independent,9.4
2022,Tas,All Affiliations,11.4
2022,NT,Government,11.4
2022,NT,Non-Government,10.6
2022,NT,Catholic,11.3
2022,NT,Independent,10.2
2022,NT,All Affiliations,11.1
2022,ACT,Government,12.7
2022,ACT,Non-Government,11.9
2022,ACT,Catholic,12.5
2022,ACT,Independent,11.0
2022,ACT,All Affiliations,12.3
2022,Aust,Government,12.3
2022,Aust,Non-Government,11.2
2022,Aust,Catholic,12.2
2022,Aust,Independent,10.4
2022,Aust,All Affiliations,11.8
2021,NSW,Government,13.2
2021,NSW,Non-Government,11.1
2021,NSW,Catholic,12.1
2021,NSW,Independent,10.0
2021,NSW,All Affiliations,12.2
2021,Vic,Government,11.8
2021,Vic,Non-Government,10.7
2021,Vic,Catholic,12.0
2021,Vic,Independent,9.7
2021,Vic,All Affiliations,11.3
2021,Qld,Government,12.1
2021,Qld,Non-Government,12.1
2021,Qld,Catholic,12.5
2021,Qld,Independent,11.7
2021,Qld,All Affiliations,12.1
2021,SA,Government,12.1
2021,SA,Non-Government,11.7
2021,SA,Catholic,12.4
2021,SA,Independent,11.2
2021,SA,All Affiliations,11.9
2021,WA,Government,12.6
2021,WA,Non-Government,11.6
2021,WA,Catholic,12.6
2021,WA,Independent,10.9
2021,WA,All Affiliations,12.2
2021,Tas,Government,12.0
2021,Tas,Non-Government,10.6
2021,Tas,Catholic,11.7
2021,Tas,Independent,9.5
2021,Tas,All Affiliations,11.5
2021,NT,Government,11.9
2021,NT,Non-Government,10.8
2021,NT,Catholic,10.8
2021,NT,Independent,10.8
2021,NT,All Affiliations,11.5
2021,ACT,Government,13.3
2021,ACT,Non-Government,11.9
2021,ACT,Catholic,12.5
2021,ACT,Independent,11.0
2021,ACT,All Affiliations,12.6
2021,Aust,Government,12.4
2021,Aust,Non-Government,11.3
2021,Aust,Catholic,12.2
2021,Aust,Independent,10.5
2021,Aust,All Affiliations,11.9
2020,NSW,Government,13.4
2020,NSW,Non-Government,11.1
2020,NSW,Catholic,12.2
2020,NSW,Independent,10.0
2020,NSW,All Affiliations,12.4
2020,Vic,Government,12.2
2020,Vic,Non-Government,10.8
2020,Vic,Catholic,12.0
2020,Vic,Independent,9.7
2020,Vic,All Affiliations,11.5
2020,Qld,Government,12.1
2020,Qld,Non-Government,12.1
2020,Qld,Catholic,12.3
2020,Qld,Independent,11.9
2020,Qld,All Affiliations,12.1
2020,SA,Government,12.5
2020,SA,Non-Government,12.1
2020,SA,Catholic,12.7
2020,SA,Independent,11.5
2020,SA,All Affiliations,12.3
2020,WA,Government,12.8
2020,WA,Non-Government,11.7
2020,WA,Catholic,12.6
2020,WA,Independent,11.0
2020,WA,All Affiliations,12.3
2020,Tas,Government,12.5
2020,Tas,Non-Government,10.8
2020,Tas,Catholic,12.1
2020,Tas,Independent,9.5
2020,Tas,All Affiliations,11.9
2020,NT,Government,11.8
2020,NT,Non-Government,10.5
2020,NT,Catholic,10.6
2020,NT,Independent,10.5
2020,NT,All Affiliations,11.4
2020,ACT,Government,12.4
2020,ACT,Non-Government,11.9
2020,ACT,Catholic,12.7
2020,ACT,Independent,10.7
2020,ACT,All Affiliations,12.2
2020,Aust,Government,12.6
2020,Aust,Non-Government,11.4
2020,Aust,Catholic,12.2
2020,Aust,Independent,10.5
2020,Aust,All Affiliations,12.1
2019,NSW,Government,13.9
2019,NSW,Non-Government,11.2
2019,NSW,Catholic,12.3
2019,NSW,Independent,10.0
2019,NSW,All Affiliations,12.7
2019,Vic,Government,12.3
2019,Vic,Non-Government,10.8
2019,Vic,Catholic,12.2
2019,Vic,Independent,9.6
2019,Vic,All Affiliations,11.6
2019,Qld,Government,12.1
2019,Qld,Non-Government,11.9
2019,Qld,Catholic,12.1
2019,Qld,Independent,11.8
2019,Qld,All Affiliations,12.1
2019,SA,Government,12.7
2019,SA,Non-Government,12.3
2019,SA,Catholic,13.2
2019,SA,Independent,11.6
2019,SA,All Affiliations,12.5
2019,WA,Government,12.8
2019,WA,Non-Government,11.6
2019,WA,Catholic,12.6
2019,WA,Independent,10.9
2019,WA,All Affiliations,12.3
2019,Tas,Government,12.7
2019,Tas,Non-Government,10.9
2019,Tas,Catholic,12.1
2019,Tas,Independent,9.6
2019,Tas,All Affiliations,12.0
2019,NT,Government,11.9
2019,NT,Non-Government,10.5
2019,NT,Catholic,10.8
2019,NT,Independent,10.2
2019,NT,All Affiliations,11.4
2019,ACT,Government,12.3
2019,ACT,Non-Government,11.7
2019,ACT,Catholic,12.8
2019,ACT,Independent,10.3
2019,ACT,All Affiliations,12.0
2019,Aust,Government,12.8
2019,Aust,Non-Government,11.4
2019,Aust,Catholic,12.3
2019,Aust,Independent,10.4
2019,Aust,All Affiliations,12.2
2018,NSW,Government,12.3
2018,NSW,Non-Government,11.3
2018,NSW,Catholic,12.4
2018,NSW,Independent,10.0
2018,NSW,All Affiliations,11.9
2018,Vic,Government,12.1
2018,Vic,Non-Government,10.9
2018,Vic,Catholic,12.2
2018,Vic,Independent,9.7
2018,Vic,All Affiliations,11.6
2018,Qld,Government,12.2
2018,Qld,Non-Government,12.0
2018,Qld,Catholic,12.2
2018,Qld,Independent,11.7
2018,Qld,All Affiliations,12.1
2018,SA,Government,12.7
2018,SA,Non-Government,10.8
2018,SA,Catholic,11.6
2018,SA,Independent,10.1
2018,SA,All Affiliations,11.9
2018,WA,Government,12.6
2018,WA,Non-Government,11.6
2018,WA,Catholic,12.6
2018,WA,Independent,10.8
2018,WA,All Affiliations,12.2
2018,Tas,Government,12.9
2018,Tas,Non-Government,11.0
2018,Tas,Catholic,12.3
2018,Tas,Independent,9.6
