state_name,year,ratio,join_key
NSW,2024,13.2,NSW|2024
Vic,2024,12.1,Vic|2024
Qld,2024,13.2,Qld|2024
SA,2024,13.1,SA|2024
WA,2024,13.8,WA|2024
Tas,2024,12.0,Tas|2024
NT,2024,11.4,NT|2024
ACT,2024,13.4,ACT|2024
NSW,2023,13.6,NSW|2023
Vic,2023,12.2,Vic|2023
Qld,2023,13.3,Qld|2023
SA,2023,13.1,SA|2023
WA,2023,13.8,WA|2023
Tas,2023,12.4,Tas|2023
NT,2023,11.6,NT|2023
ACT,2023,13.4,ACT|2023
NSW,2022,13.6,NSW|2022
Vic,2022,12.3,Vic|2022
Qld,2022,13.4,Qld|2022
SA,2022,13.3,SA|2022
WA,2022,13.7,WA|2022
Tas,2022,12.4,Tas|2022
NT,2022,11.4,NT|2022
ACT,2022,13.3,ACT|2022
NSW,2021,13.7,NSW|2021
Vic,2021,12.4,Vic|2021
Qld,2021,13.5,Qld|2021
SA,2021,13.4,SA|2021
WA,2021,13.8,WA|2021
Tas,2021,12.7,Tas|2021
NT,2021,11.9,NT|2021
ACT,2021,13.5,ACT|2021
NSW,2020,14.1,NSW|2020
Vic,2020,12.8,Vic|2020
Qld,2020,13.5,Qld|2020
SA,2020,13.6,SA|2020
WA,2020,14.0,WA|2020
Tas,2020,13.0,Tas|2020
NT,2020,11.8,NT|2020
ACT,2020,13.4,ACT|2020
NSW,2019,14.5,NSW|2019
Vic,2019,13.0,Vic|2019
Qld,2019,13.4,Qld|2019
SA,2019,13.6,SA|2019
WA,2019,14.0,WA|2019
Tas,2019,13.3,Tas|2019
NT,2019,11.8,NT|2019
ACT,2019,13.4,ACT|2019
NSW,2018,13.7,NSW|2018
Vic,2018,13.0,Vic|2018
Qld,2018,13.5,Qld|2018
SA,2018,13.7,SA|2018
WA,2018,13.9,WA|2018
Tas,2018,13.5,Tas|2018
NT,2018,12.3,NT|2018
ACT,2018,13.7,ACT|2018
NSW,2017,13.9,NSW|2017
Vic,2017,13.2,Vic|2017
Qld,2017,13.6,Qld|2017
SA,2017,13.8,SA|2017
WA,2017,13.8,WA|2017
Tas,2017,13.7,Tas|2017
NT,2017,12.3,NT|2017
ACT,2017,13.6,ACT|2017
NSW,2016,14.0,NSW|2016
Vic,2016,13.2,Vic|2016
Qld,2016,13.8,Qld|2016
SA,2016,14.1,SA|2016
WA,2016,13.9,WA|2016
Tas,2016,13.8,Tas|2016
NT,2016,12.2,NT|2016
ACT,2016,13.5,ACT|2016
NSW,2015,14.0,NSW|2015
Vic,2015,13.5,Vic|2015
Qld,2015,14.0,Qld|2015
SA,2015,14.1,SA|2015
WA,2015,14.3,WA|2015
Tas,2015,14.1,Tas|2015
NT,2015,12.6,NT|2015
ACT,2015,13.4,ACT|2015
NSW,2014,14.0,NSW|2014
Vic,2014,13.5,Vic|2014
Qld,2014,14.3,Qld|2014
SA,2014,14.1,SA|2014
WA,2014,14.4,WA|2014
Tas,2014,13.8,Tas|2014
NT,2014,12.1,NT|2014
ACT,2014,13.3,ACT|2014
NSW,2013,13.9,NSW|2013
Vic,2013,13.4,Vic|2013
Qld,2013,14.5,Qld|2013
SA,2013,14.0,SA|2013
WA,2013,14.1,WA|2013
Tas,2013,13.8,Tas|2013
NT,2013,12.0,NT|2013
ACT,2013,13.3,ACT|2013
NSW,2012,14.0,NSW|2012
Vic,2012,13.2,Vic|2012
Qld,2012,14.4,Qld|2012
SA,2012,14.1,SA|2012
WA,2012,14.1,WA|2012
Tas,2012,13.7,Tas|2012
NT,2012,11.4,NT|2012
ACT,2012,13.5,ACT|2012
NSW,2011,14.0,NSW|2011
Vic,2011,13.3,Vic|2011
Qld,2011,14.4,Qld|2011
SA,2011,14.1,SA|2011
WA,2011,13.9,WA|2011
Tas,2011,13.6,Tas|2011
NT,2011,11.6,NT|2011
ACT,2011,13.5,ACT|2011
NSW,2010,14.1,NSW|2010
Vic,2010,13.4,Vic|2010
Qld,2010,14.4,Qld|2010
SA,2010,14.2,SA|2010
WA,2010,13.8,WA|2010
Tas,2010,13.7,Tas|2010
NT,2010,11.9,NT|2010
ACT,2010,13.4,ACT|2010
NSW,2009,14.1,NSW|2009
Vic,2009,13.4,Vic|2009
Qld,2009,14.4,Qld|2009
SA,2009,14.2,SA|2009
WA,2009,13.8,WA|2009
Tas,2009,13.8,Tas|2009
NT,2009,11.8,NT|2009
ACT,2009,13.5,ACT|2009
NSW,2008,14.1,NSW|2008
Vic,2008,13.4,Vic|2008
Qld,2008,14.5,Qld|2008
SA,2008,14.2,SA|2008
WA,2008,13.9,WA|2008
Tas,2008,14.2,Tas|2008
NT,2008,12.6,NT|2008
ACT,2008,13.6,ACT|2008
NSW,2007,14.2,NSW|2007
Vic,2007,13.4,Vic|2007
Qld,2007,14.5,Qld|2007
SA,2007,14.3,SA|2007
WA,2007,14.0,WA|2007
Tas,2007,14.3,Tas|2007
NT,2007,12.9,NT|2007
ACT,2007,13.6,ACT|2007
NSW,2006,14.2,NSW|2006
Vic,2006,13.7,Vic|2006
Qld,2006,14.3,Qld|2006
SA,2006,14.2,SA|2006
WA,2006,14.5,WA|2006
Tas,2006,14.4,Tas|2006
NT,2006,12.8,NT|2006
ACT,2006,13.6,ACT|2006
