CALENDAR_YEAR,YEAR_LEVEL,DOMAIN,STATE,SUBGROUP,ENROLLED_STUDENTS,MEAN,MEAN_CI,MEAN_SD,NMS,NMS_CI,GAIN,GAIN_CI,EXEMPT,ABSENT,ASSESSED,WITHDRAWN,NONATTEMPT,PARTICIPATION_RATE,PARTICIPATION_NUMBER,NOT_STATED,AVERAGE_AGE,YEARS_OF_SCHOOLING,BANDCOL1,BANDCOL2,BANDCOL3,BANDCOL4,BANDCOL5,BANDCOL6,PCTL05,PCTL20,PCTL80,PCTL95,TREND,TREND_VALUE,NOD_MEAN_PREV,NOD_NMS_PREV,NOD_MEAN_BASE,NOD_NMS_BASE
2008,3,Grammar and Punctuation,ACT,All,4366.0,419.6,6.2,83.1,93.6,1.4,,,2.2,3.6,93.0,0.8,,95.6,4175,,8yrs 8mths,3yrs 4mths,4.2,8.3,14.8,23.2,23.2,24.1,276.5,350.1,490.2,551.7,Flat,434.8,,,,
2008,3,Grammar and Punctuation,ACT,Parental Education: Bachelor,167.0,445.2,,79.7,95.8,,,,2.4,3.0,94.6,0.0,,97.0,162,91.8,8yrs 7mths,3yrs 4mths,1.8,5.5,9.6,20.4,23.4,37.0,308.7,381.3,513.0,565.4,,,,,,
2008,3,Grammar and Punctuation,ACT,Parental Education: Certificate,72.0,396.1,,91.0,90.0,,,,1.4,4.2,93.1,1.4,,94.4,68,91.8,8yrs 7mths,3yrs 4mths,8.6,11.9,22.8,19.7,15.3,20.3,240.9,319.4,476.6,546.1,,,,,,
2008,3,Grammar and Punctuation,ACT,Parental Education: Diploma,52.0,401.4,,69.1,96.9,,,,0.0,3.8,96.2,0.0,,96.2,50,91.8,8yrs 7mths,3yrs 4mths,3.1,10.0,20.8,29.6,24.2,12.3,283.7,342.1,456.3,519.2,,,,,,
2008,3,Grammar and Punctuation,ACT,Parental Education: Not stated,4009.0,419.8,,82.7,93.7,,,,2.2,3.5,93.5,0.8,,95.7,3836,91.8,8yrs 7mths,3yrs 4mths,4.1,8.3,14.6,23.4,23.5,23.9,278.0,351.0,489.8,551.1,,,,,,
2008,3,Grammar and Punctuation,ACT,Non-LBOTE,3852.0,421.2,6.2,82.5,94.4,1.3,,,1.7,3.5,94.0,0.8,,95.7,3687,,8yrs 7mths,3yrs 4mths,3.9,8.2,14.6,23.3,23.7,24.6,279.6,352.5,491.1,552.4,,,,,,
2008,3,Grammar and Punctuation,ACT,Female,2154.0,431.2,6.9,78.9,96.5,1.1,,,1.3,3.8,94.2,0.7,,95.5,2056,,8yrs 7mths,3yrs 4mths,2.2,6.5,14.1,23.2,24.7,27.9,299.6,364.2,498.0,559.0,,,,,,
2008,3,Grammar and Punctuation,ACT,Indigenous,107.0,352.2,19.7,86.7,81.3,11.6,,,0.9,11.2,88.0,0.0,,88.8,95,,8yrs 8mths,3yrs 4mths,17.8,20.4,23.4,16.4,13.3,7.9,227.1,280.7,430.7,503.0,,,,,,
2008,3,Grammar and Punctuation,ACT,Male,2212.0,408.2,7.3,85.5,90.8,2.2,,,3.0,3.3,92.8,0.9,,95.8,2119,,8yrs 8mths,3yrs 4mths,6.1,10.0,15.3,23.3,21.8,20.5,259.6,335.4,481.6,542.6,,,,,,
2008,3,Grammar and Punctuation,ACT,LBOTE,405.0,401.7,12.0,86.1,86.1,6.6,,,6.9,3.5,88.4,1.2,,95.3,386,,8yrs 7mths,3yrs 4mths,7.0,9.7,15.1,23.1,20.6,17.5,248.4,329.1,475.5,538.6,,,,,,
2008,3,Grammar and Punctuation,ACT,Non-Indigenous,4172.0,421.6,6.0,82.1,94.1,1.3,,,2.1,3.2,93.9,0.9,,95.9,4003,,8yrs 7mths,3yrs 4mths,3.8,8.0,14.5,23.5,23.6,24.7,280.5,353.2,491.4,552.0,,,,,,
2008,3,Grammar and Punctuation,ACT,Parental Occupation: Group 1,149.0,441.4,,82.7,95.7,,,,2.7,3.4,94.0,0.0,,96.6,144,92.3,8yrs 7mths,3yrs 4mths,1.6,6.6,11.9,19.7,22.1,35.3,304.0,364.8,513.5,570.6,,,,,,
2008,3,Grammar and Punctuation,ACT,Parental Occupation: Group 2,75.0,423.1,,71.9,97.3,,,,0.0,1.3,98.7,0.0,,98.7,74,92.3,8yrs 7mths,3yrs 4mths,2.7,5.6,15.5,29.9,21.3,25.1,296.2,365.4,489.9,532.7,,,,,,
2008,3,Grammar and Punctuation,ACT,Parental Occupation: Group 3,61.0,396.7,,87.8,91.5,,,,1.6,3.3,95.1,0.0,,96.7,59,92.3,8yrs 7mths,3yrs 4mths,6.9,11.1,24.6,21.6,15.4,18.7,247.2,329.8,472.4,548.2,,,,,,
2008,3,Grammar and Punctuation,ACT,Parental Occupation: Not stated,4032.0,419.6,,82.9,93.7,,,,2.2,3.5,93.5,0.8,,95.7,3857,92.3,8yrs 7mths,3yrs 4mths,4.2,8.3,14.6,23.3,23.5,23.9,276.6,350.7,489.8,551.1,,,,,,
2008,3,Grammar and Punctuation,ACT,Parental Education: Year 12,41.0,408.3,,84.4,92.7,,,,2.4,4.9,90.2,2.4,,92.7,38,91.8,8yrs 7mths,3yrs 4mths,4.9,6.3,25.9,24.4,14.1,22.0,279.8,341.3,484.1,549.5,,,,,,
2008,3,Grammar and Punctuation,AUS,All,271720.0,403.2,1.3,87.5,91.7,0.3,,,1.7,2.9,95.0,0.5,,96.6,262612,,8yrs 7mths,3yrs 4mths,6.5,10.6,17.3,23.4,21.3,19.2,257.4,331.2,476.9,539.0,Dome shaped,407.5,,,,
2008,3,Grammar and Punctuation,AUS,Parental Education: Bachelor,43376.0,438.4,1.5,78.9,96.3,0.3,,,1.5,1.8,96.3,0.4,,97.8,42407,44.8,8yrs 5mths,3yrs 4mths,2.2,5.2,12.1,21.9,26.1,31.0,303.7,374.4,504.6,562.1,,,,,,
2008,3,Grammar and Punctuation,AUS,Parental Education: Certificate,43189.0,388.5,1.4,80.4,90.8,0.4,,,1.8,2.1,95.7,0.4,,97.5,42119,44.8,8yrs 5mths,3yrs 4mths,7.4,12.9,20.4,25.0,19.7,12.8,253.7,320.1,456.7,516.4,,,,,,
2008,3,Grammar and Punctuation,AUS,Parental Education: Diploma,22016.0,407.7,1.5,79.0,93.9,0.4,,,1.6,1.9,96.0,0.4,,97.7,21500,44.8,8yrs 5mths,3yrs 4mths,4.4,9.5,17.6,25.3,23.2,18.3,274.1,341.8,474.2,532.9,,,,,,
2008,3,Grammar and Punctuation,AUS,Parental Education: Not stated,121312.0,405.1,1.7,90.5,92.1,0.4,,,1.3,3.8,94.4,0.5,,95.7,116070,44.8,8yrs 7mths,3yrs 4mths,6.6,10.2,16.7,23.2,21.5,20.5,255.8,332.8,480.4,542.3,,,,,,
2008,3,Grammar and Punctuation,AUS,Non-LBOTE,215652.0,404.5,1.2,85.2,92.6,0.3,,,1.4,2.4,95.8,0.5,,97.2,209546,,8yrs 6mths,3yrs 4mths,6.0,10.7,17.5,23.6,21.5,19.3,261.9,332.6,476.9,538.7,Dome shaped,407.6,,,,
2008,3,Grammar and Punctuation,AUS,Female,132699.0,414.6,1.3,84.7,94.0,0.3,,,1.2,2.7,95.7,0.4,,96.9,128648,,8yrs 5mths,3yrs 4mths,4.7,8.7,15.9,23.6,23.4,22.4,271.9,345.6,485.1,545.5,Dome shaped,420.0,,,,
2008,3,Grammar and Punctuation,AUS,Indigenous,13184.0,305.5,5.8,106.3,65.3,2.0,,,2.0,8.6,89.0,0.5,,90.6,11946,,8yrs 5mths,3yrs 4mths,32.7,20.7,19.0,14.4,8.0,3.3,111.0,229.8,393.4,463.8,Dome shaped,307.0,,,,
2008,3,Grammar and Punctuation,AUS,Male,139019.0,392.2,1.3,88.8,89.5,0.3,,,2.2,3.1,94.1,0.5,,96.4,133963,,8yrs 6mths,3yrs 4mths,8.2,12.4,18.6,23.2,19.3,16.1,246.2,318.8,466.7,531.4,Increasing,402.8,,,,
2008,3,Grammar and Punctuation,AUS,LBOTE,47303.0,403.4,2.6,93.2,89.8,0.7,,,3.1,3.3,93.2,0.4,,96.2,45515,,8yrs 6mths,3yrs 4mths,7.2,9.6,16.1,23.0,21.3,19.8,247.7,332.1,479.2,542.4,Increasing,415.1,,,,
2008,3,Grammar and Punctuation,AUS,Non-Indigenous,250091.0,408.4,1.1,83.3,93.3,0.2,,,1.6,2.3,95.7,0.4,,97.3,243334,,8yrs 6mths,3yrs 4mths,5.1,10.1,17.2,23.9,22.1,20.0,268.4,338.1,479.2,540.5,Increasing,420.1,,,,
2008,3,Grammar and Punctuation,AUS,Parental Occupation: Group 1,36540.0,434.7,1.5,79.8,96.4,0.3,,,1.1,1.8,96.8,0.3,,97.9,35755,46.8,8yrs 5mths,3yrs 4mths,2.5,5.8,12.9,22.3,25.7,29.7,297.7,369.5,501.8,559.8,,,,,,
2008,3,Grammar and Punctuation,AUS,Parental Occupation: Group 2,37758.0,413.1,1.3,78.7,94.6,0.3,,,1.5,1.8,96.4,0.3,,97.9,36953,46.8,8yrs 5mths,3yrs 4mths,3.9,8.6,16.7,25.2,24.0,20.1,279.6,348.2,479.2,537.9,,,,,,
2008,3,Grammar and Punctuation,AUS,Parental Occupation: Group 3,34751.0,393.4,1.5,79.7,92.0,0.4,,,1.7,1.8,96.1,0.4,,97.8,33975,46.8,8yrs 5mths,3yrs 4mths,6.4,12.0,20.0,25.4,20.5,14.0,260.0,326.0,460.8,521.0,,,,,,
2008,3,Grammar and Punctuation,AUS,Parental Occupation: Group 4,24390.0,376.7,2.1,84.9,86.7,0.7,,,3.0,2.3,94.2,0.4,,97.2,23718,46.8,8yrs 5mths,3yrs 4mths,10.3,15.3,21.0,22.6,16.7,11.1,239.3,304.3,448.9,513.3,,,,,,
2008,3,Grammar and Punctuation,AUS,Parental Occupation: Not in paid work,11578.0,357.6,2.6,88.3,78.1,1.1,,,6.9,3.8,88.6,0.7,,95.4,11047,46.8,8yrs 5mths,3yrs 4mths,15.0,17.8,20.3,19.2,12.7,8.2,219.2,282.1,433.5,502.4,,,,,,
2008,3,Grammar and Punctuation,AUS,Parental Occupation: Not stated,126703.0,402.7,1.7,90.8,91.7,0.4,,,1.3,3.8,94.3,0.5,,95.6,121164,46.8,8yrs 6mths,3yrs 4mths,7.0,10.6,17.0,23.1,21.1,19.8,252.7,329.7,478.5,540.8,,,,,,
