Calendar year,Year level,Domain,State/territory,Student attribute,Subgroup,Reporting flag,Enrolled students,Participation (%),Participation (Num),Average NAPLAN score,Average NAPLAN score confidence interval,NAPLAN score standard deviation,Exempt (%),Needs additional support (%),Developing (%),Strong (%),Exceeding (%),Exceeding (CI),Strong or above (%),Strong or above (CI),Developing or above (%),Developing or above (CI)
2025,3,Reading,New South Wales,All,All,,"99,333",97.1,"96,463",408.1,2.0,88.0,1.9,9.5,20.5,47.7,20.4,0.7,68.1,0.9,88.6,0.5
2025,3,Reading,New South Wales,Gender,Male,,"51,001",96.6,"49,245",401.3,2.3,89.8,2.5,11.0,22.0,45.8,18.7,0.8,64.5,1.0,86.5,0.6
2025,3,Reading,New South Wales,Gender,Female,,"48,327",97.7,"47,214",415.2,2.2,85.5,1.2,7.9,18.9,49.8,22.2,0.9,72.0,0.9,90.8,0.5
2025,3,Reading,New South Wales,Indigeneity,Indigenous,,"7,803",93.2,"7,275",344.2,3.1,88.1,2.8,26.6,30.5,34.3,5.8,0.6,40.1,1.5,70.6,1.5
2025,3,Reading,New South Wales,Indigeneity,Non-Indigenous,,"88,643",97.5,"86,435",413.5,1.9,85.6,1.7,8.0,19.7,49.1,21.6,0.8,70.6,0.8,90.3,0.5
2025,3,Reading,New South Wales,ABS remoteness,Major cities,,"75,606",97.6,"73,810",415.5,2.4,86.5,2.1,7.9,19.0,48.5,22.6,0.9,71.1,1.0,90.0,0.6
2025,3,Reading,New South Wales,ABS remoteness,Inner regional,,"19,218",95.7,"18,397",388.1,3.2,87.9,1.4,13.5,24.6,46.4,14.1,0.9,60.5,1.6,85.1,1.1
2025,3,Reading,New South Wales,ABS remoteness,Outer regional,,"4,091",94.4,"3,862",372.5,6.2,89.3,1.2,17.8,28.1,41.6,11.2,1.7,52.8,3.1,80.9,2.3
2025,3,Reading,New South Wales,ABS remoteness,Remote,,332,95.2,316,349.6,19.0,95.5,2.1,27.2,28.2,34.5,8.0,4.1,42.5,9.1,70.7,8.4
2025,3,Reading,New South Wales,ABS remoteness,Very remote,,86,90.7,78,327.4,34.2,93.9,2.3,37.4,30.7,21.6,7.9,8.9,29.5,16.5,60.2,18.0
2025,3,Reading,New South Wales,Language background,Non-LBOTE,,"64,953",96.7,"62,814",403.5,2.0,88.0,1.6,10.4,21.3,47.7,19.0,0.7,66.7,0.9,88.0,0.6
2025,3,Reading,New South Wales,Language background,LBOTE,,"32,443",98.1,"31,811",418.0,3.3,86.8,2.2,7.4,18.8,48.2,23.5,1.3,71.6,1.4,90.4,0.7
2025,3,Reading,New South Wales,Parental education,Parental education: bachelor,,"51,438",98.2,"50,519",437.6,1.7,79.1,1.3,3.8,14.2,50.9,29.8,0.9,80.7,0.7,94.9,0.3
2025,3,Reading,New South Wales,Parental education,Parental education: diploma,,"13,294",97.2,"12,928",393.1,1.9,80.1,1.5,10.2,24.6,50.9,12.8,0.7,63.7,1.1,88.3,0.7
2025,3,Reading,New South Wales,Parental education,Parental education: certificate,,"21,032",96.1,"20,203",372.6,1.8,83.2,2.1,15.8,28.7,44.6,8.8,0.5,53.4,1.0,82.1,0.9
2025,3,Reading,New South Wales,Parental education,Parental education: Year 12,,"4,409",95.6,"4,217",371.4,3.4,85.0,2.9,16.3,28.6,43.1,9.1,1.0,52.2,1.8,80.8,1.4
2025,3,Reading,New South Wales,Parental education,Parental education: Year 11,,"5,477",92.8,"5,083",330.0,3.1,84.6,4.5,30.7,31.9,29.5,3.4,0.6,32.9,1.7,64.8,1.7
2025,3,Reading,New South Wales,Parental education,Parental education: not stated,,"3,683",95.4,"3,513",408.4,7.6,95.4,5.3,10.9,19.5,42.5,21.8,3.3,64.3,3.0,83.8,2.0
2025,3,Reading,New South Wales,Parental occupation,Senior managers and professionals,,"34,616",98.3,"34,030",436.6,1.8,79.7,1.0,4.1,14.5,50.8,29.7,0.9,80.5,0.7,95.0,0.3
2025,3,Reading,New South Wales,Parental occupation,Other managers and associate professionals,,"21,471",97.7,"20,982",421.0,2.0,82.2,1.2,6.2,18.2,50.8,23.6,0.9,74.4,0.9,92.7,0.5
2025,3,Reading,New South Wales,Parental occupation,"Skilled trades, clerical and sales",,"21,303",97.2,"20,704",390.1,1.9,83.8,1.9,11.6,25.0,48.3,13.2,0.7,61.4,1.0,86.5,0.7
2025,3,Reading,New South Wales,Parental occupation,"Unskilled manual, office & sales",,"10,175",96.0,"9,770",366.6,2.6,85.2,2.9,17.8,29.1,42.1,8.1,0.7,50.2,1.5,79.3,1.1
2025,3,Reading,New South Wales,Parental occupation,Not in paid work for 12 months,,"7,743",92.3,"7,148",345.7,3.3,88.6,5.0,25.6,30.0,33.5,5.9,0.8,39.4,1.7,69.4,1.6
2025,3,Reading,New South Wales,Parental occupation,Parental occupation not stated/unknown,,"4,025",95.1,"3,829",407.1,7.0,93.7,4.8,10.7,19.9,43.6,20.9,3.1,64.6,2.8,84.5,1.8
2025,3,Reading,New South Wales,Indigeneity by ABS remoteness,Indigenous major cities,,"3,553",94.3,"3,350",354.0,4.3,88.3,3.3,23.2,29.4,37.2,6.9,1.0,44.1,2.2,73.5,2.1
2025,3,Reading,New South Wales,Indigeneity by ABS remoteness,Indigenous inner regional,,"3,059",92.7,"2,835",340.9,5.2,87.2,2.2,27.8,30.9,34.0,5.2,0.9,39.2,2.5,70.0,2.5
2025,3,Reading,New South Wales,Indigeneity by ABS remoteness,Indigenous outer regional,,992,91.7,910,327.3,7.8,85.1,2.3,32.6,33.0,28.4,3.7,1.7,32.1,4.3,65.1,4.1
2025,3,Reading,New South Wales,Indigeneity by ABS remoteness,Indigenous remote,,148,91.2,135,315.4,20.0,90.8,3.4,39.2,33.0,19.5,5.0,4.1,24.5,7.9,57.4,10.7
2025,3,Reading,New South Wales,Indigeneity by ABS remoteness,Indigenous very remote,,51,88.2,45,289.7,29.5,69.0,3.9,48.2,36.5,9.8,1.6,4.0,11.4,12.2,47.8,24.2
2025,3,Reading,New South Wales,Indigeneity by ABS remoteness,Non-Indigenous major cities,,"69,820",97.8,"68,309",418.3,2.3,85.1,1.9,7.1,18.5,49.2,23.2,0.9,72.5,1.0,91.0,0.5
2025,3,Reading,New South Wales,Indigeneity by ABS remoteness,Non-Indigenous inner regional,,"15,648",96.4,"15,085",397.1,2.8,85.1,1.2,10.8,23.3,48.8,15.8,0.9,64.6,1.5,88.0,0.9
2025,3,Reading,New South Wales,Indigeneity by ABS remoteness,Non-Indigenous outer regional,,"2,982",95.5,"2,849",388.0,5.5,85.3,0.9,12.7,26.3,46.4,13.8,2.1,60.1,2.8,86.4,1.9
2025,3,Reading,New South Wales,Indigeneity by ABS remoteness,Non-Indigenous remote,,166,99.4,165,380.3,15.2,88.8,1.2,16.0,24.1,48.0,10.7,5.9,58.7,9.0,82.8,6.1
2025,3,Reading,New South Wales,Indigeneity by ABS remoteness,Non-Indigenous very remote,n.p.,,,,,,,,,,,,,,,,
2025,3,Reading,Victoria,All,All,,"83,251",95.8,"79,742",417.0,2.0,84.3,2.6,6.9,19.1,49.0,22.4,0.8,71.4,0.9,90.5,0.5
2025,3,Reading,Victoria,Gender,Male,,"42,893",95.2,"40,831",410.7,2.2,85.9,3.4,8.0,20.8,47.3,20.5,0.8,67.8,1.0,88.6,0.7
2025,3,Reading,Victoria,Gender,Female,,"40,336",96.4,"38,889",423.7,2.0,82.0,1.6,5.8,17.3,50.8,24.4,0.8,75.2,0.9,92.5,0.5
2025,3,Reading,Victoria,Indigeneity,Indigenous,,"1,763",89.0,"1,569",365.9,6.1,88.5,6.0,18.5,28.2,38.7,8.5,1.4,47.2,3.3,75.4,2.7
