year,school name,suburb,state,teaching staff per total enrolments
2024,Fahan School,Sandy Bay,TAS,0.12280701754385964
2023,Fahan School,Sandy Bay,TAS,0.11779448621553884
2022,Fahan School,Sandy Bay,TAS,0.11779448621553884
2021,Fahan School,Sandy Bay,TAS,0.10824742268041238
2020,Fahan School,Sandy Bay,TAS,0.10421836228287841
2019,Fahan School,Sandy Bay,TAS,0.10148514851485149
2018,Fahan School,Sandy Bay,TAS,0.10512820512820513
2017,Fahan School,Sandy Bay,TAS,0.10752688172043011
2016,Fahan School,Sandy Bay,TAS,0.10810810810810811
2015,Fahan School,Sandy Bay,TAS,0.10684931506849316
2014,Fahan School,Sandy Bay,TAS,0.10919540229885058
2013,Fahan School,Sandy Bay,TAS,0.10979228486646884
2012,Fahan School,Sandy Bay,TAS,0.10574018126888217
2011,Fahan School,Sandy Bay,TAS,0.10682492581602374
2010,Fahan School,Sandy Bay,TAS,0.10746268656716418
2009,Fahan School,Sandy Bay,TAS,0.0990990990990991
2008,Fahan School,Sandy Bay,TAS,0.09798270893371758
2024,Geneva Christian College,Latrobe,TAS,0.1111111111111111
2023,Geneva Christian College,Latrobe,TAS,0.10631229235880399
2022,Geneva Christian College,Latrobe,TAS,0.10320284697508897
2021,Geneva Christian College,Latrobe,TAS,0.10357142857142858
2020,Geneva Christian College,Latrobe,TAS,0.10894941634241245
2019,Geneva Christian College,Latrobe,TAS,0.09787234042553192
2018,Geneva Christian College,Latrobe,TAS,0.11057692307692307
2017,Geneva Christian College,Latrobe,TAS,0.10309278350515463
2016,Geneva Christian College,Latrobe,TAS,0.10465116279069768
2015,Geneva Christian College,Latrobe,TAS,0.10365853658536585
2014,Geneva Christian College,Latrobe,TAS,0.09933774834437085
2013,Geneva Christian College,Latrobe,TAS,0.09701492537313433
2012,Geneva Christian College,Latrobe,TAS,0.11403508771929824
2011,Geneva Christian College,Latrobe,TAS,0.10869565217391304
2010,Geneva Christian College,Latrobe,TAS,0.12643678160919541
2009,Geneva Christian College,Latrobe,TAS,0.1388888888888889
2008,Geneva Christian College,Latrobe,TAS,0.13157894736842105
2024,John Calvin School,Launceston,TAS,0.11764705882352941
2023,John Calvin School,Launceston,TAS,0.09836065573770492
2022,John Calvin School,Launceston,TAS,0.10526315789473684
2021,John Calvin School,Launceston,TAS,0.11009174311926606
2020,John Calvin School,Launceston,TAS,0.11214953271028037
2019,John Calvin School,Launceston,TAS,0.12380952380952381
2018,John Calvin School,Launceston,TAS,0.1111111111111111
2017,John Calvin School,Launceston,TAS,0.12
2016,John Calvin School,Launceston,TAS,0.11764705882352941
2015,John Calvin School,Launceston,TAS,0.14102564102564102
2014,John Calvin School,Launceston,TAS,0.2222222222222222
2013,John Calvin School,Launceston,TAS,0.136986301369863
2012,John Calvin School,Launceston,TAS,0.14492753623188406
2011,John Calvin School,Launceston,TAS,0.203125
2010,John Calvin School,Launceston,TAS,0.22580645161290322
2009,John Calvin School,Launceston,TAS,0.21311475409836064
2008,John Calvin School,Launceston,TAS,0.21311475409836064
2024,Launceston Church Grammar School,Mowbray,TAS,0.12642045454545456
2023,Launceston Church Grammar School,Mowbray,TAS,0.11455525606469003
2022,Launceston Church Grammar School,Mowbray,TAS,0.11273209549071618
2021,Launceston Church Grammar School,Mowbray,TAS,0.1245136186770428
2020,Launceston Church Grammar School,Mowbray,TAS,0.11953727506426735
2019,Launceston Church Grammar School,Mowbray,TAS,0.1248339973439575
2018,Launceston Church Grammar School,Mowbray,TAS,0.1202113606340819
2017,Launceston Church Grammar School,Mowbray,TAS,0.11843876177658143
2016,Launceston Church Grammar School,Mowbray,TAS,0.1289875173370319
2015,Launceston Church Grammar School,Mowbray,TAS,0.1316931982633864
2014,Launceston Church Grammar School,Mowbray,TAS,0.13199426111908177
2013,Launceston Church Grammar School,Mowbray,TAS,0.12606232294617564
2012,Launceston Church Grammar School,Mowbray,TAS,0.13055555555555556
2011,Launceston Church Grammar School,Mowbray,TAS,0.12550607287449392
2010,Launceston Church Grammar School,Mowbray,TAS,0.1220159151193634
2009,Launceston Church Grammar School,Mowbray,TAS,0.13659147869674185
2008,Launceston Church Grammar School,Mowbray,TAS,0.12469437652811736
2024,St James Catholic College,Cygnet,TAS,0.11353711790393013
2023,St James Catholic College,Cygnet,TAS,0.13716814159292035
2022,St James Catholic College,Cygnet,TAS,0.13043478260869565
2021,St James Catholic College,Cygnet,TAS,0.11851851851851852
2020,St James Catholic College,Cygnet,TAS,0.11347517730496454
2019,St James Catholic College,Cygnet,TAS,0.11538461538461539
2018,St James Catholic College,Cygnet,TAS,0.11666666666666667
2017,St James Catholic College,Cygnet,TAS,0.13389121338912133
2016,St James Catholic College,Cygnet,TAS,0.10222222222222223
2015,St James Catholic College,Cygnet,TAS,0.11983471074380166
2014,St James Catholic College,Cygnet,TAS,0.11196911196911197
2013,St James Catholic College,Cygnet,TAS,0.1070110701107011
2012,St James Catholic College,Cygnet,TAS,0.10505836575875487
2011,St James Catholic College,Cygnet,TAS,0.10655737704918032
2010,St James Catholic College,Cygnet,TAS,0.1076923076923077
2009,St James Catholic College,Cygnet,TAS,0.10266159695817491
2008,St James Catholic College,Cygnet,TAS,0.09652509652509653
2024,St Mary's College,Hobart,TAS,0.12063492063492064
2023,St Mary's College,Hobart,TAS,0.10010764262648009
2022,St Mary's College,Hobart,TAS,0.10148232611174458
2021,St Mary's College,Hobart,TAS,0.10111111111111111
2020,St Mary's College,Hobart,TAS,0.09978070175438597
2019,St Mary's College,Hobart,TAS,0.10514541387024609
2018,St Mary's College,Hobart,TAS,0.10356347438752785
2017,St Mary's College,Hobart,TAS,0.09887640449438202
2016,St Mary's College,Hobart,TAS,0.09164733178654293
2015,St Mary's College,Hobart,TAS,0.08862275449101796
2014,St Mary's College,Hobart,TAS,0.08939213349225268
2013,St Mary's College,Hobart,TAS,0.09296781883194279
